id	crypto_name	price	price_category	price_change	timestamp	created_at
1	bitcoin	67000.00	High	Increase	2026-04-13T16:11:37.9170000	2026-04-13T16:11:37.9170000
2	avalanche-2	9.23	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.1100000
3	bitcoin	72115.00	High	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.1330000
4	cardano	0.24	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.1570000
5	chainlink	8.84	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.1800000
6	cosmos	1.72	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.2030000
7	dogecoin	0.09	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.2270000
8	ethereum	2220.99	High	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.2500000
9	filecoin	0.87	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.2700000
10	litecoin	52.98	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.2900000
11	monero	344.95	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.3130000
12	polkadot	1.16	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.3330000
13	ripple	1.34	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.3530000
14	solana	83.09	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.3770000
15	stellar	0.15	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.3970000
16	tezos	0.34	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.4200000
17	theta-token	0.17	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.4400000
18	tron	0.32	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.4630000
19	uniswap	3.10	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.4830000
20	vechain	0.01	Low	Stable	2026-04-13T16:24:20.3230000	2026-04-13T16:24:21.5070000
21	avalanche-2	9.28	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.2070000
22	bitcoin	72290.00	High	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.2500000
23	cardano	0.24	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.3000000
24	chainlink	8.89	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.3330000
25	cosmos	1.72	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.3600000
26	dogecoin	0.09	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.3900000
27	ethereum	2230.35	High	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.4170000
28	filecoin	0.87	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.4400000
29	litecoin	53.17	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.4670000
30	monero	345.17	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.4900000
31	polkadot	1.17	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.5130000
32	ripple	1.34	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.5400000
33	solana	83.43	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.5630000
34	stellar	0.15	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.5900000
35	tezos	0.34	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.6170000
36	theta-token	0.18	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.6400000
37	tron	0.32	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.6670000
38	uniswap	3.13	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.6930000
39	vechain	0.01	Low	Stable	2026-04-13T16:37:42.7600000	2026-04-13T16:37:43.7170000
40	avalanche-2	9.29	Low	Stable	2026-04-13T16:38:43.9500000	2026-04-13T16:38:44.2670000
41	bitcoin	72287.00	High	Stable	2026-04-13T16:38:43.9500000	2026-04-13T16:38:44.2900000
42	cardano	0.24	Low	Stable	2026-04-13T16:38:43.9500000	2026-04-13T16:38:44.3130000
43	chainlink	8.89	Low	Stable	2026-04-13T16:38:43.9500000	2026-04-13T16:38:44.3330000
